,instance_name,damodaran_min,damodaran_mean,DA_time
309,200J_30p_3m_10%_5s-5.dzn,345,355.0,46.25366751352946
310,200J_30p_3m_5%_20s-1.dzn,587,639.6666666666666,47.424903670946755
311,200J_30p_3m_5%_20s-2.dzn,633,693.5,46.85313586393992
312,200J_30p_3m_5%_20s-3.dzn,587,639.0,43.258492509524025
313,200J_30p_3m_5%_20s-4.dzn,605,649.6666666666666,46.60829623540243
314,200J_30p_3m_5%_20s-5.dzn,654,703.5,46.47192863623301
315,200J_30p_3m_5%_5s-1.dzn,210,244.16666666666666,45.16476229826609
316,200J_30p_3m_5%_5s-2.dzn,234,271.5,46.310970425605774
317,200J_30p_3m_5%_5s-3.dzn,242,270.1666666666667,44.81177552541097
318,200J_30p_3m_5%_5s-4.dzn,229,267.5,44.11933183670044
319,200J_30p_3m_5%_5s-5.dzn,228,269.3333333333333,47.54229565461477
320,200J_30p_3m_50%_20s-1.dzn,1519,1520.8333333333333,42.83572908242544
321,200J_30p_3m_50%_20s-2.dzn,1525,1526.3333333333333,44.647125681241356
322,200J_30p_3m_50%_20s-3.dzn,1527,1529.6666666666667,41.66394317150116
323,200J_30p_3m_50%_20s-4.dzn,1575,1578.5,42.04190135002136
324,200J_30p_3m_50%_20s-5.dzn,1605,1605.3333333333333,40.69383136431376
325,200J_30p_3m_50%_5s-1.dzn,1614,1614.0,44.272262374560036
326,200J_30p_3m_50%_5s-2.dzn,1674,1674.0,45.48671197891235
327,200J_30p_3m_50%_5s-3.dzn,1619,1619.0,45.122565031051636
328,200J_30p_3m_50%_5s-4.dzn,1644,1644.0,45.459962685902916
329,200J_30p_3m_50%_5s-5.dzn,1600,1600.5,43.96349263191223
330,200J_30p_5m_10%_20s-1.dzn,440,465.6666666666667,44.062563141187034
331,200J_30p_5m_10%_20s-2.dzn,408,433.5,45.086533308029175
332,200J_30p_5m_10%_20s-3.dzn,420,439.0,45.12756331761678
333,200J_30p_5m_10%_20s-4.dzn,427,450.0,47.314204494158425
334,200J_30p_5m_10%_20s-5.dzn,390,416.8333333333333,46.24619650840759
335,200J_30p_5m_10%_5s-1.dzn,333,335.8333333333333,43.41236122449239
336,200J_30p_5m_10%_5s-2.dzn,324,324.0,45.266271114349365
337,200J_30p_5m_10%_5s-3.dzn,346,348.0,43.94673669338226
338,200J_30p_5m_10%_5s-4.dzn,305,307.6666666666667,45.50606644153595
339,200J_30p_5m_10%_5s-5.dzn,345,346.0,46.51423601309458
340,200J_30p_5m_5%_20s-1.dzn,361,390.8333333333333,48.27969217300415
341,200J_30p_5m_5%_20s-2.dzn,401,427.3333333333333,47.77034882704417
342,200J_30p_5m_5%_20s-3.dzn,353,387.3333333333333,44.237894336382546
343,200J_30p_5m_5%_20s-4.dzn,375,398.3333333333333,47.62966549396515
344,200J_30p_5m_5%_20s-5.dzn,404,437.8333333333333,47.38504115740458
345,200J_30p_5m_5%_5s-1.dzn,175,182.5,45.456461469332375
346,200J_30p_5m_5%_5s-2.dzn,190,198.5,46.594815135002136
347,200J_30p_5m_5%_5s-3.dzn,200,208.83333333333334,45.09286034107208
348,200J_30p_5m_5%_5s-4.dzn,190,202.33333333333334,44.398040453592934
349,200J_30p_5m_5%_5s-5.dzn,190,200.16666666666666,47.913644552230835
350,200J_30p_5m_50%_20s-1.dzn,1519,1519.0,44.56545468171438
351,200J_30p_5m_50%_20s-2.dzn,1525,1525.5,46.93342649936676
352,200J_30p_5m_50%_20s-3.dzn,1522,1522.8333333333333,43.49517651398977
353,200J_30p_5m_50%_20s-4.dzn,1575,1575.6666666666667,44.594876964886986
354,200J_30p_5m_50%_20s-5.dzn,1605,1605.0,42.45100557804108
355,200J_30p_5m_50%_5s-1.dzn,1614,1614.0,44.533218344052635
356,200J_30p_5m_50%_5s-2.dzn,1674,1675.0,45.87386139233907
357,200J_30p_5m_50%_5s-3.dzn,1619,1619.0,45.39003904660543
358,200J_30p_5m_50%_5s-4.dzn,1644,1644.0,45.663258035977684
359,200J_30p_5m_50%_5s-5.dzn,1600,1600.0,44.30866400400797
360,20J_10p_3m_10%_20s-1.dzn,26,27.333333333333332,0.28528467814127595
361,20J_10p_3m_10%_20s-2.dzn,28,29.0,0.31496135393778485
362,20J_10p_3m_10%_20s-3.dzn,26,27.666666666666668,0.2953060070673624
363,20J_10p_3m_10%_20s-4.dzn,14,16.0,0.2947367429733276
364,20J_10p_3m_10%_20s-5.dzn,28,30.5,0.3004166285196939
365,20J_10p_3m_10%_5s-1.dzn,20,20.0,0.2633726596832275
366,20J_10p_3m_10%_5s-2.dzn,19,19.5,0.25061384836832684
367,20J_10p_3m_10%_5s-3.dzn,20,20.166666666666668,0.26169133186340326
368,20J_10p_3m_10%_5s-4.dzn,21,21.0,0.26130362351735426
369,20J_10p_3m_10%_5s-5.dzn,18,18.666666666666668,0.26252762476603186
370,20J_10p_3m_5%_20s-1.dzn,21,21.0,0.2860645850499471
371,20J_10p_3m_5%_20s-2.dzn,32,32.166666666666664,0.28577629725138337
372,20J_10p_3m_5%_20s-3.dzn,27,28.166666666666668,0.2967466513315836
373,20J_10p_3m_5%_20s-4.dzn,24,24.5,0.31083718935648597
374,20J_10p_3m_5%_20s-5.dzn,27,28.333333333333332,0.30735735098520905
375,20J_10p_3m_5%_5s-1.dzn,16,16.0,0.25183220704396564
376,20J_10p_3m_5%_5s-2.dzn,14,14.833333333333334,0.2677663167317708
377,20J_10p_3m_5%_5s-3.dzn,14,14.0,0.2691938082377116
378,20J_10p_3m_5%_5s-4.dzn,14,14.333333333333334,0.2591555913289388
379,20J_10p_3m_5%_5s-5.dzn,14,14.0,0.2710241079330444
380,20J_10p_3m_50%_20s-1.dzn,58,58.0,0.30932784080505366
