,instance,total_cost,seed,normalization_constant,cost,solver
349,34,110940,51,112500,0.9861333333333333,R
350,116,14362,47,15000,0.9574666666666667,R
351,112,12796,42,15000,0.8530666666666666,R
352,86,6610,47,7500,0.8813333333333333,R
353,82,7266,42,7500,0.9688,R
354,41,1588,51,1750,0.9074285714285715,R
355,120,2864920,44,3187500,0.898798431372549,R
356,47,5666300,47,6462500,0.8767969052224371,R
357,43,1472,42,1500,0.9813333333333333,R
358,80,13182519,51,14662500,0.8990635294117647,R
359,80,13102755,48,14662500,0.8936235294117647,R
360,81,6768,45,7500,0.9024,R
361,88,29175075,42,32312500,0.9029036750483559,R
362,41,1574,48,1750,0.8994285714285715,R
363,40,118440,45,162500,0.7288615384615384,R
364,49,37416,42,37500,0.99776,R
365,76,2938,46,3000,0.9793333333333333,R
366,72,2676,43,3000,0.892,R
367,34,111156,48,112500,0.9880533333333333,R
368,38,142370,47,162500,0.8761230769230769,R
369,35,1911645,45,2394875,0.7982232893157263,R
370,111,11574836,45,11602500,0.9976156862745098,R
371,118,11380,42,15000,0.7586666666666667,R
372,70,3430080,50,3900000,0.8795076923076923,R
373,110,3081029,48,3312500,0.9301219622641509,R
374,89,5834,50,7500,0.7778666666666667,R
375,43,1472,44,1500,0.9813333333333333,R
376,42,1358,49,1500,0.9053333333333333,R
377,120,2867827,42,3187500,0.899710431372549,R
378,48,6186103,50,7043750,0.87824,R
379,82,7266,44,7500,0.9688,R
380,83,7292,49,7500,0.9722666666666666,R
381,113,13150,49,15000,0.8766666666666667,R
382,73,2804,51,3000,0.9346666666666666,R
383,112,12864,44,15000,0.8576,R
384,79,563041,48,612500,0.919250612244898,R
385,36,835,44,875,0.9542857142857143,R
386,119,14172,50,15000,0.9448,R
387,37,261240,49,262500,0.9952,R
388,78,2390,45,3000,0.7966666666666666,R
389,71,2588,42,3000,0.8626666666666667,R
390,75,3529764,47,3570000,0.9887294117647059,R
391,79,566079,51,612500,0.924210612244898,R
392,118,11380,44,15000,0.7586666666666667,R
393,111,11574836,43,11602500,0.9976156862745098,R
394,115,11874,46,15000,0.7916,R
395,119,14176,49,15000,0.9450666666666667,R
396,37,261240,50,262500,0.9952,R
397,113,13138,50,15000,0.8758666666666667,R
398,72,2667,45,3000,0.889,R
399,73,2816,48,3000,0.9386666666666666,R
400,35,1929677,43,2394875,0.8057527010804322,R
401,31,1506,46,1875,0.8032,R
402,48,6162436,49,7043750,0.87488,R
403,49,37416,44,37500,0.99776,R
404,40,119896,43,162500,0.7378215384615384,R
405,83,7292,50,7500,0.9722666666666666,R
406,44,6500306,46,6900000,0.9420733333333333,R
407,89,5834,49,7500,0.7778666666666667,R
408,88,29086950,44,32312500,0.9001764023210832,R
409,81,6740,43,7500,0.8986666666666666,R
410,42,1344,50,1500,0.896,R
411,85,6790,46,7500,0.9053333333333333,R
412,36,835,45,875,0.9542857142857143,R
413,79,555299,49,612500,0.9066106122448979,R
414,75,3526908,46,3570000,0.9879294117647058,R
415,78,2484,44,3000,0.828,R
416,71,2594,43,3000,0.8646666666666667,R
417,37,261240,48,262500,0.9952,R
418,119,14156,51,15000,0.9437333333333333,R
419,113,13114,48,15000,0.8742666666666666,R
420,112,12678,45,15000,0.8452,R
421,73,2804,50,3000,0.9346666666666666,R
422,48,6165817,51,7043750,0.87536,R
423,82,7266,45,7500,0.9688,R
424,120,2867929,43,3187500,0.8997424313725491,R
425,83,7256,48,7500,0.9674666666666667,R
426,89,5834,51,7500,0.7778666666666667,R
427,43,1472,45,1500,0.9813333333333333,R
428,42,1318,48,1500,0.8786666666666667,R
429,89,5834,48,7500,0.7778666666666667,R
430,85,6802,47,7500,0.9069333333333334,R
431,88,28971800,45,32312500,0.8966127659574468,R
432,81,6720,42,7500,0.896,R
433,42,1354,51,1500,0.9026666666666666,R
434,48,6129753,48,7043750,0.87024,R
435,44,6570962,47,6900000,0.9523133333333333,R
436,49,37416,45,37500,0.99776,R
437,40,117400,42,162500,0.7224615384615385,R
438,83,7268,51,7500,0.9690666666666666,R
439,72,2676,44,3000,0.892,R
440,113,13110,51,15000,0.874,R
441,31,1536,47,1875,0.8192,R
442,35,1855295,42,2394875,0.7746938775510204,R
443,73,2792,49,3000,0.9306666666666666,R
444,115,11874,47,15000,0.7916,R
445,118,11380,45,15000,0.7586666666666667,R
446,111,11574836,42,11602500,0.9976156862745098,R
447,79,559366,50,612500,0.913250612244898,R
448,37,261240,51,262500,0.9952,R
449,119,14124,48,15000,0.9416,R
450,44,6524594,44,6900000,0.9455933333333333,R
451,49,37416,46,37500,0.99776,R
452,45,6217113,49,6641250,0.9361359683794467,R
453,85,6816,44,7500,0.9088,R
454,88,29178600,46,32312500,0.9030127659574468,R
455,84,17203849,49,19061250,0.9025561807331628,R
456,114,2537985,49,3187500,0.7962305882352941,R
457,74,491142,51,552000,0.88975,R
458,115,11874,44,15000,0.7916,R
459,118,11380,46,15000,0.7586666666666667,R
460,38,147934,43,162500,0.9103630769230769,R
461,31,1531,44,1875,0.8165333333333333,R
462,30,134898,49,146875,0.9184544680851063,R
463,76,2938,42,3000,0.9793333333333333,R
464,72,2670,47,3000,0.89,R
465,116,14398,43,15000,0.9598666666666666,R
466,112,12796,46,15000,0.8530666666666666,R
467,30,138658,50,146875,0.9440544680851064,R
468,114,2559490,50,3187500,0.8029772549019608,R
469,75,3528336,45,3570000,0.9883294117647059,R
470,78,2360,47,3000,0.7866666666666666,R
471,74,494408,48,552000,0.8956666666666667,R
472,32,568,43,750,0.7573333333333333,R
473,36,835,46,875,0.9542857142857143,R
474,84,17185285,50,19061250,0.9015822676896845,R
475,47,5639275,43,6462500,0.872615087040619,R
476,43,1472,46,1500,0.9813333333333333,R
477,45,6182463,50,6641250,0.9309185770750988,R
478,86,6602,43,7500,0.8802666666666666,R
479,82,7266,46,7500,0.9688,R
480,38,144086,42,162500,0.8866830769230769,R
481,31,1561,45,1875,0.8325333333333333,R
482,72,2667,46,3000,0.889,R
483,76,2938,43,3000,0.9793333333333333,R
484,30,134663,48,146875,0.9168544680851064,R
485,114,2568585,48,3187500,0.8058305882352941,R
486,118,11380,47,15000,0.7586666666666667,R
487,115,11874,45,15000,0.7916,R
488,74,484196,50,552000,0.8771666666666667,R
489,88,29215025,47,32312500,0.9041400386847195,R
490,85,6804,45,7500,0.9072,R
491,84,17223739,48,19061250,0.9035996589940324,R
492,49,37416,47,37500,0.99776,R
493,44,6455042,45,6900000,0.9355133333333333,R
494,45,6172068,48,6641250,0.9293533596837945,R
495,82,7266,47,7500,0.9688,R
496,45,6217113,51,6641250,0.9361359683794467,R
497,86,6656,42,7500,0.8874666666666666,R
498,43,1472,47,1500,0.9813333333333333,R
499,84,17183959,51,19061250,0.9015127024722933,R
500,47,5699200,42,6462500,0.8818878143133462,R
501,78,2418,46,3000,0.806,R
502,75,3531192,44,3570000,0.9891294117647059,R
503,114,2540535,51,3187500,0.7970305882352942,R
504,36,835,47,875,0.9542857142857143,R
505,32,566,42,750,0.7546666666666667,R
506,74,490636,49,552000,0.8888333333333334,R
507,112,12764,47,15000,0.8509333333333333,R
508,116,14362,42,15000,0.9574666666666667,R
509,30,137765,51,146875,0.9379744680851064,R
510,24,17028,46,18000,0.946,R
511,66,2942,48,3000,0.9806666666666667,R
512,29,186228,44,192500,0.9674181818181818,R
513,20,139668,43,169050,0.8261934338952972,R
514,28,146131,49,159375,0.9169003921568627,R
515,106,13990,50,15000,0.9326666666666666,R
516,67,2822,45,3000,0.9406666666666667,R
517,4,252,44,300,0.84,R
518,22,626,50,750,0.8346666666666667,R
519,9,141246,46,148050,0.9540425531914893,R
520,100,6316,46,7500,0.8421333333333333,R
521,5,151002,49,182700,0.8265024630541872,R
522,104,14488,43,15000,0.9658666666666667,R
523,90,5624844,46,6375000,0.8823284705882353,R
524,94,4315234,43,4812500,0.896672,R
525,57,3151,50,3750,0.8402666666666667,R
526,19,3120,51,5000,0.624,R
527,51,4724,46,5250,0.8998095238095238,R
528,55,5988425,43,6737500,0.8888200371057514,R
529,96,7016,50,7500,0.9354666666666667,R
530,13,1074480,48,1180000,0.9105762711864407,R
531,12,672,45,750,0.896,R
532,96,7000,49,7500,0.9333333333333333,R
533,13,1027280,51,1180000,0.8705762711864407,R
534,97,6592,44,7500,0.8789333333333333,R
535,15,2868,47,3000,0.956,R
536,18,16410,45,16500,0.9945454545454545,R
537,11,672,42,750,0.896,R
538,57,3096,49,3750,0.8256,R
539,56,1334,44,1500,0.8893333333333333,R
540,19,3272,48,5000,0.6544,R
541,60,4972232,47,5692500,0.8734707070707071,R
542,22,608,49,750,0.8106666666666666,R
543,64,245376,42,264000,0.9294545454545454,R
544,5,151002,50,182700,0.8265024630541872,R
545,23,2854950,44,3139500,0.9093645484949833,R
546,66,2942,51,3000,0.9806666666666667,R
547,107,249764,44,250000,0.999056,R
548,7,1612632,43,1849200,0.8720700843608047,R
549,3,155,46,300,0.5166666666666667,R
550,28,145672,50,159375,0.9140203921568627,R
551,106,13980,49,15000,0.932,R
552,13,1097136,49,1180000,0.9297762711864407,R
553,55,6030075,42,6737500,0.8950018552875696,R
554,96,7012,51,7500,0.9349333333333333,R
555,51,4759,47,5250,0.9064761904761904,R
556,12,672,44,750,0.896,R
557,94,4321284,42,4812500,0.8979291428571429,R
558,57,3086,51,3750,0.8229333333333333,R
559,90,5642592,47,6375000,0.8851124705882353,R
560,19,3568,50,5000,0.7136,R
561,22,598,51,750,0.7973333333333333,R
562,9,147168,47,148050,0.9940425531914894,R
563,4,252,45,300,0.84,R
564,104,14500,42,15000,0.9666666666666667,R
565,100,6258,47,7500,0.8344,R
566,5,157962,48,182700,0.8645977011494252,R
567,29,183148,45,192500,0.9514181818181818,R
568,20,135993,42,169050,0.8044543034605146,R
569,66,2942,49,3000,0.9806666666666667,R
570,24,16684,47,18000,0.9268888888888889,R
571,67,2802,44,3000,0.934,R
572,106,13938,51,15000,0.9292,R
573,28,141745,48,159375,0.8893803921568627,R
574,107,249764,45,250000,0.999056,R
575,66,2942,50,3000,0.9806666666666667,R
576,3,176,47,300,0.5866666666666667,R
577,106,13998,48,15000,0.9332,R
578,28,146947,51,159375,0.9220203921568627,R
579,7,1649616,42,1849200,0.8920700843608047,R
580,64,245160,43,264000,0.9286363636363636,R
581,22,614,48,750,0.8186666666666667,R
582,60,5004317,46,5692500,0.8791070707070707,R
583,23,2901906,45,3139500,0.9243210702341137,R
584,5,151002,51,182700,0.8265024630541872,R
585,57,3141,48,3750,0.8376,R
586,18,16410,44,16500,0.9945454545454545,R
587,11,662,43,750,0.8826666666666667,R
588,15,2748,46,3000,0.916,R
589,19,3172,49,5000,0.6344,R
590,56,1322,45,1500,0.8813333333333333,R
591,13,1097136,50,1180000,0.9297762711864407,R
592,96,6990,48,7500,0.932,R
593,97,6558,45,7500,0.8744,R
594,23,2887710,46,3139500,0.919799331103679,R
595,8,618240,50,619500,0.9979661016949153,R
596,61,18327,48,21000,0.8727142857142857,R
597,27,6333,43,6375,0.9934117647058823,R
598,101,14562,50,15000,0.9708,R
599,69,13014964,42,14950000,0.8705661538461539,R
600,60,5052962,45,5692500,0.8876525252525252,R
601,3,155,44,300,0.5166666666666667,R
602,25,129255,50,133875,0.9654901960784313,R
603,2,1072,49,1200,0.8933333333333333,R
