,instance,SA-R,seed,SA-C,instance_size
110,82,0.42293333333333333,48,0.42346666666666666,250 jobs
111,69,0.5491692307692307,43,0.5551476923076923,100 jobs
112,39,0.7305515151515152,51,0.7305515151515152,25 jobs
113,30,0.6079387234042554,49,0.6079387234042554,25 jobs
114,87,0.49866666666666665,49,0.49466666666666664,250 jobs
115,58,0.670749090909091,46,0.670749090909091,50 jobs
116,20,0.45724933451641525,45,0.45724933451641525,10 jobs
117,97,0.3930666666666667,45,0.3928,250 jobs
118,16,0.7858823529411765,49,0.7858823529411765,10 jobs
119,119,0.6457333333333334,43,0.6421333333333333,500 jobs
120,25,0.49207843137254903,44,0.49207843137254903,25 jobs
121,92,0.4197484949832776,44,0.43114515050167224,250 jobs
122,13,0.6083254237288136,48,0.5843389830508474,10 jobs
123,52,0.5906666666666667,44,0.5906666666666667,50 jobs
124,104,0.42013333333333336,44,0.4204,500 jobs
125,64,0.5760075757575758,48,0.5760909090909091,100 jobs
126,38,0.5798892307692308,43,0.5757538461538462,25 jobs
127,68,0.7440298039215686,51,0.7426886274509804,100 jobs
128,101,0.44453333333333334,45,0.44853333333333334,500 jobs
129,57,0.5477333333333333,45,0.5472,50 jobs
130,61,0.5022857142857143,49,0.5022857142857143,100 jobs
131,98,0.5035261538461538,46,0.5130929230769231,250 jobs
132,38,0.5696492307692308,49,0.5823507692307692,25 jobs
133,5,0.3974712643678161,44,0.3974712643678161,10 jobs
134,34,0.6932622222222222,50,0.6996622222222222,25 jobs
135,83,0.6816,50,0.6816,250 jobs
136,76,0.6666666666666666,46,0.6666666666666666,100 jobs
137,120,0.5024210196078431,46,0.5014061176470588,500 jobs
138,64,0.5768409090909091,42,0.5767575757575758,100 jobs
139,31,0.5189333333333334,51,0.5189333333333334,25 jobs
140,86,0.6325333333333333,51,0.6322666666666666,250 jobs
141,73,0.5726666666666667,47,0.5746666666666667,100 jobs
142,61,0.49942857142857144,43,0.49714285714285716,100 jobs
